address,lat,long
11 FULTON STREET,40.7067484,-74.0029359
201 FRONT STREET,40.7070174,-74.0035094
111 SOUTH STREET,40.7071739,-74.0019261
156 BEEKMAN STREET,40.7069817,-74.0022651
24 PECK SLIP,40.7078683,-74.0019405
234 FRONT STREET,40.7077887,-74.002009
226 FRONT STREET,40.7076871,-74.0022074
212 FRONT STREET,40.7073742,-74.0027051
134 BEEKMAN STREET,40.7075279,-74.0028278
245 WATER STREET,40.707904,-74.0022543
36 PARK ROW,40.7115379,-74.0064783
154 NASSAU STREET,40.7111647,-74.0047902
270 WATER STREET,40.7087768,-74.0014211
268 WATER STREET,40.7087302,-74.0014897
248 FRONT STREET,40.7082581,-74.0010316
277 WATER STREET,40.7085819,-74.0009125
SOUTH STREET,40.7089086,-74.0003823
AVENUE OF THE FINEST,40.7104895,-74.0024347
PARK ROW,40.7119607,-74.0042311
6 MURRAY STREET,40.7131956,-74.0080043
18 MURRAY STREET,40.7134124,-74.0084697
120 CHURCH STREET,40.7137911,-74.0095086
30 WEST BROADWAY,40.7137772,-74.0111715
65 MURRAY STREET,40.7146749,-74.0101183
67 MURRAY STREET,40.7146831,-74.0102229
1 GOVERNORS ISLAND,40.6887989,-74.0186747
1 ELLIS ISLAND,40.6981883,-74.0413288
10 SOUTH STREET,40.7005502,-74.0115876
PETER MINUIT PLAZA,40.7019526,-74.0131459
115 BROAD STREET,40.7027763,-74.0107224
105 BROAD STREET,40.7031715,-74.0113537
101 BROAD STREET,40.7032922,-74.0113248
60 PEARL STREET,40.7034405,-74.0110868
1 WHITEHALL STREET,40.7038081,-74.0127567
6 STONE STREET,40.703885,-74.0124791
2 BROADWAY,40.7044998,-74.0126451
24 BEAVER STREET,40.7048155,-74.0121222
WHITEHALL STREET,40.7049965,-74.0136406
20 WEST STREET,40.706182,-74.0156102
22 BATTERY PLACE,40.7041011,-74.0180334
MARGINAL STREET,40.7188601,-74.0148375
200 VESEY STREET,40.7135353,-74.0148688
20 RIVER TERRACE,40.7165736,-74.0161357
